City,State,Population,Change
New York,New York,8405837,4.80%
Los Angeles,California,3884307,4.80%
Chicago,Illinois,2718782,-6.10%
Houston,Texas,2195914,11.00%
Philadelphia,Pennsylvania,1553165,2.60%
Phoenix,Arizona,1513367,14.00%
San Antonio,Texas,1409019,21.00%
San Diego,California,1355896,10.50%
Dallas,Texas,1257676,5.60%
San Jose,California,998537,10.50%
Austin,Texas,885400,31.70%
Indianapolis,Indiana,843393,7.80%
Jacksonville,Florida,842583,14.30%
San Francisco,California,837442,7.70%
Columbus,Ohio,822553,14.80%
Charlotte,North Carolina,792862,39.10%
Fort Worth,Texas,792727,45.10%
Detroit,Michigan,688701,-27.10%
El Paso,Texas,674433,19.40%
Memphis,Tennessee,653450,-5.30%
Seattle,Washington,652405,15.60%
Denver,Colorado,649495,16.70%
Washington,District of Columbia,646449,13.00%
Boston,Massachusetts,645966,9.40%
Nashville-Davidson,Tennessee,634464,16.20%
Baltimore,Maryland,622104,-4.00%
Oklahoma City,Oklahoma,610613,20.20%
Louisville/Jefferson County,Kentucky,609893,10.00%
Portland,Oregon,609456,15.00%
Las Vegas,Nevada,603488,24.50%
Milwaukee,Wisconsin,599164,0.30%
Albuquerque,New Mexico,556495,23.50%
Tucson,Arizona,526116,7.50%
Fresno,California,509924,18.30%
Sacramento,California,479686,17.20%
Long Beach,California,469428,1.50%
Kansas City,Missouri,467007,5.50%
Mesa,Arizona,457587,13.50%
Virginia Beach,Virginia,448479,5.10%
Atlanta,Georgia,447841,6.20%
Colorado Springs,Colorado,439886,21.40%
Omaha,Nebraska,434353,5.90%
Raleigh,North Carolina,431746,48.70%
Miami,Florida,417650,14.90%
Oakland,California,406253,1.30%
Minneapolis,Minnesota,400070,4.50%
Tulsa,Oklahoma,398121,1.30%
Cleveland,Ohio,390113,-18.10%
Wichita,Kansas,386552,9.70%
Arlington,Texas,379577,13.30%
New Orleans,Louisiana,378715,-21.60%
Bakersfield,California,363630,48.40%
Tampa,Florida,352957,16.00%
Honolulu,Hawaii,347884,-6.20%
Aurora,Colorado,345803,24.40%
Anaheim,California,345012,4.70%
Santa Ana,California,334227,-1.20%
St. Louis,Missouri,318416,-8.20%
Riverside,California,316619,22.50%
Corpus Christi,Texas,316381,14.10%
Lexington-Fayette,Kentucky,308428,18.00%
Pittsburgh,Pennsylvania,305841,-8.30%
Anchorage,Alaska,300950,15.40%
Stockton,California,298118,21.80%
Cincinnati,Ohio,297517,-10.10%
St. Paul,Minnesota,294873,2.80%
Toledo,Ohio,282313,-10.00%
Greensboro,North Carolina,279639,22.30%
Newark,New Jersey,278427,2.10%
Plano,Texas,274409,22.40%
Henderson,Nevada,270811,51.00%
Lincoln,Nebraska,268738,18.00%
Buffalo,New York,258959,-11.30%
Jersey City,New Jersey,257342,7.20%
Chula Vista,California,256780,46.20%
Fort Wayne,Indiana,256496,1.00%
Orlando,Florida,255483,31.20%
St. Petersburg,Florida,249688,0.30%
Chandler,Arizona,249146,38.70%
Laredo,Texas,248142,38.20%
Norfolk,Virginia,246139,5.00%
Durham,North Carolina,245475,29.90%
Madison,Wisconsin,243344,15.80%
Lubbock,Texas,239538,19.60%
Irvine,California,236716,61.30%
Winston-Salem,North Carolina,236441,16.90%
Glendale,Arizona,234632,5.70%
Garland,Texas,234566,8.50%
Hialeah,Florida,233394,3.20%
Reno,Nevada,233294,26.80%
Chesapeake,Virginia,230571,15.10%
Gilbert,Arizona,229972,96.00%
Baton Rouge,Louisiana,229426,0.40%
Irving,Texas,228653,19.10%
Scottsdale,Arizona,226918,11.00%
North Las Vegas,Nevada,226877,92.20%
Fremont,California,224922,10.00%
Boise City,Idaho,214237,9.50%
Richmond,Virginia,214114,8.20%
San Bernardino,California,213708,13.00%
Birmingham,Alabama,212113,-12.30%
Spokane,Washington,210721,7.00%
Rochester,New York,210358,-4.10%
Des Moines,Iowa,207510,3.90%
Modesto,California,204933,7.70%
Fayetteville,North Carolina,204408,2.40%
Tacoma,Washington,203446,4.90%
Oxnard,California,203007,18.20%
Fontana,California,203003,38.30%
Columbus,Georgia,202824,8.70%
Montgomery,Alabama,201332,-0.10%
Moreno Valley,California,201175,40.40%
Shreveport,Louisiana,200327,-0.10%
Aurora,Illinois,199963,38.40%
Yonkers,New York,199766,1.80%
Akron,Ohio,198100,-8.60%
Huntington Beach,California,197575,3.90%
Little Rock,Arkansas,197357,7.60%
Augusta-Richmond County,Georgia,197350,1.10%
Amarillo,Texas,196429,12.80%
Glendale,California,196021,0.30%
Mobile,Alabama,194899,-1.90%
Grand Rapids,Michigan,192294,-2.80%
Salt Lake City,Utah,191180,5.10%
Tallahassee,Florida,186411,21.80%
Huntsville,Alabama,186254,16.30%
Grand Prairie,Texas,183372,43.10%
Knoxville,Tennessee,183270,3.90%
Worcester,Massachusetts,182544,5.80%
Newport News,Virginia,182020,0.90%
Brownsville,Texas,181860,26.80%
Overland Park,Kansas,181260,19.40%
Santa Clarita,California,179590,15.30%
Providence,Rhode Island,177994,2.30%
Garden Grove,California,175140,5.80%
Chattanooga,Tennessee,173366,10.50%
Oceanside,California,172794,6.60%
Jackson,Mississippi,172638,-6.80%
Fort Lauderdale,Florida,172389,0.70%
Santa Rosa,California,171990,15.20%
Rancho Cucamonga,California,171386,32.70%
Port St. Lucie,Florida,171016,91.70%
Tempe,Arizona,168228,5.80%
Ontario,California,167500,5.50%
Vancouver,Washington,167405,14.20%
Cape Coral,Florida,165831,60.40%
Sioux Falls,South Dakota,164676,31.10%
Springfield,Missouri,164122,7.80%
Peoria,Arizona,162592,46.50%
Pembroke Pines,Florida,162329,17.40%
Elk Grove,California,161007,97.10%
Salem,Oregon,160614,16.40%
Lancaster,California,159523,33.80%
Corona,California,159503,23.60%
Eugene,Oregon,159190,14.40%
Palmdale,California,157161,33.70%
Salinas,California,155662,8.40%
